"KundenadressePLZ","Ort","Land","Sum(Totalbetrag)","adresse","coordinate","latitude","longitude"
1025,"St-Sulpice VD","Schweiz",1774.1500000000003,"1025 St-Sulpice VD, Schweiz","46.5127661 6.56122",46.5127661,6.56122
1026,"Denges","Schweiz",3331.4500000000003,"1026 Denges, Schweiz","46.5248345 6.541428300000001",46.5248345,6.541428300000001
1027,"Lonay","Schweiz",2130.0500000000006,"1027 Lonay, Schweiz","46.52664679999999 6.5205487",46.52664679999999,6.5205487
1028,"Préverenges","Schweiz",1170.6,"1028 Préverenges, Schweiz","46.5170831 6.528045199999999",46.5170831,6.528045199999999
1029,"Villars-Ste-Croix","Schweiz",1281.5,"1029 Villars-Ste-Croix, Schweiz","46.567024 6.5637452",46.567024,6.5637452
1030,"Bussigny-près-Lausanne","Schweiz",5558.299999999998,"1030 Bussigny-près-Lausanne, Schweiz","46.5555718 6.552551800000001",46.5555718,6.552551800000001
1031,"Mex VD","Schweiz",16.8,"1031 Mex VD, Schweiz","46.577693 6.5525569",46.577693,6.5525569
1032,"Romanel-sur-Lausanne","Schweiz",22561.249999999993,"1032 Romanel-sur-Lausanne, Schweiz","46.5630648 6.603945",46.5630648,6.603945
1033,"Cheseaux-sur-Lausanne","Schweiz",6536.649999999999,"1033 Cheseaux-sur-Lausanne, Schweiz","46.58227970000001 6.592959",46.58227970000001,6.592959
1034,"Boussens","Schweiz",1481.1999999999998,"1034 Boussens, Schweiz","46.6020393 6.586104799999999",46.6020393,6.586104799999999
1036,"Sullens","Schweiz",1053.8,"1036 Sullens, Schweiz","46.5909059 6.5692517",46.5909059,6.5692517
1037,"Etagnières","Schweiz",1726.5000000000005,"1037 Etagnières, Schweiz","46.6007366 6.6086661",46.6007366,6.6086661
1038,"Bercher","Schweiz",3935.5499999999984,"1038 Bercher, Schweiz","46.689529 6.7067912",46.689529,6.7067912
1040,"St-Barthélemy VD","Schweiz",32908.00000000002,"1040 St-Barthélemy VD, Schweiz","46.6368795 6.602289",46.6368795,6.602289
1041,"Dommartin","Schweiz",4831.750000000001,"1041 Dommartin, Schweiz","46.6496 6.702179999999999",46.6496,6.702179999999999
1042,"Bettens","Schweiz",7741.499999999995,"1042 Bettens, Schweiz","46.62798890000001 6.577331699999999",46.62798890000001,6.577331699999999
1043,"Sugnens","Schweiz",557.95,"1043 Sugnens, Schweiz","46.6525866 6.6751527",46.6525866,6.6751527
1044,"Fey","Schweiz",1139.05,"1044 Fey, Schweiz","46.6739446 6.683031499999999",46.6739446,6.683031499999999
1045,"Ogens","Schweiz",3809.2499999999995,"1045 Ogens, Schweiz","46.7104182 6.723491399999999",46.7104182,6.723491399999999
1046,"Rueyres","Schweiz",306.05,"1046 Rueyres, Schweiz","46.6905253 6.689795999999999",46.6905253,6.689795999999999
1047,"Oppens","Schweiz",109.45,"1047 Oppens, Schweiz","46.7139815 6.691682999999999",46.7139815,6.691682999999999
1052,"Le Mont-sur-Lausanne","Schweiz",7418.949999999999,"1052 Le Mont-sur-Lausanne, Schweiz","46.5599143 6.6448908",46.5599143,6.6448908
1053,"Bretigny-sur-Morrens","Schweiz",9144.600000000002,"1053 Bretigny-sur-Morrens, Schweiz","46.5980923 6.641246",46.5980923,6.641246
1054,"Morrens VD","Schweiz",838.9499999999999,"1054 Morrens VD, Schweiz","46.5910697 6.6256805",46.5910697,6.6256805
1055,"Froideville","Schweiz",5632.349999999999,"1055 Froideville, Schweiz","46.5954766 6.698986499999999",46.5954766,6.698986499999999
1058,"Villars-Tiercelin","Schweiz",2014.8500000000008,"1058 Villars-Tiercelin, Schweiz","46.613921 6.7147897",46.613921,6.7147897
1059,"Peney-le-Jorat","Schweiz",1666.4,"1059 Peney-le-Jorat, Schweiz","46.63214790000001 6.728431",46.63214790000001,6.728431
1062,"Sottens","Schweiz",213.85,"1062 Sottens, Schweiz","46.653714 6.7385334",46.653714,6.7385334
1063,"Peyres-Possens","Schweiz",2474.1000000000004,"1063 Peyres-Possens, Schweiz","46.6633472 6.706789199999999",46.6633472,6.706789199999999
1066,"Epalinges","Schweiz",5937.899999999999,"1066 Epalinges, Schweiz","46.549055 6.665210399999999",46.549055,6.665210399999999
1070,"Puidoux","Schweiz",15162.099999999997,"1070 Puidoux, Schweiz","46.5131333 6.7825318",46.5131333,6.7825318
1071,"Rivaz","Schweiz",13337.449999999995,"1071 Rivaz, Schweiz","46.4838689 6.786998499999999",46.4838689,6.786998499999999
1072,"Forel (Lavaux)","Schweiz",4781.1,"1072 Forel (Lavaux), Schweiz","46.53798 6.7712746",46.53798,6.7712746
1073,"Mollie-Margot","Schweiz",10012.149999999996,"1073 Mollie-Margot, Schweiz","46.55668 6.75057",46.55668,6.75057
1076,"Ferlens VD","Schweiz",1684.9,"1076 Ferlens VD, Schweiz","46.5875821 6.7916851",46.5875821,6.7916851
1077,"Servion","Schweiz",2051.95,"1077 Servion, Schweiz","46.57393279999999 6.776964299999999",46.57393279999999,6.776964299999999
1078,"Essertes","Schweiz",183.8,"1078 Essertes, Schweiz","46.5637167 6.7859944",46.5637167,6.7859944
