"ID";"Name";"Strasse";"PLZ";"Ort";"Adresse";"coordinate";"latitude";"longitude"
246;"LANDI Bachtel Genossenschaft";"Bahnhofstrasse 42";8636;"Wald";"Bahnhofstrasse 42, Wald, Switzerland";"47.2729526 8.9134937";47.2729526;8.9134937
247;"LANDI Goldingen";"Laupenstrasse 2";8638;"Goldingen";"Laupenstrasse 2, Goldingen, Switzerland";"47.2642566 8.9602382";47.2642566;8.9602382
248;"LANDI mittlerer Zürisee Genossenschaft";"Gruebstrasse 93";8706;"Meilen";"Gruebstrasse 93, Meilen, Switzerland";"47.2689491 8.6630661";47.2689491;8.6630661
249;"LANDI Stäfa-Männedorf";"Laubisrütistrasse 40";8712;"Stäfa";"Laubisrütistrasse 40, Stäfa, Switzerland";"47.2384041 8.7460183";47.2384041;8.7460183
250;"LANDI Linth Genossenschaft";"Landistrasse 2";8718;"Schänis";"Landistrasse 2, Schänis, Switzerland";"47.1744278 9.054143999999999";47.1744278;9.054143999999999
251;"LANDI Linth Genossenschaft";"Schulhausstrasse 21";8722;"Kaltbrunn";"Schulhausstrasse 21, Kaltbrunn, Switzerland";"47.2114766 9.0284892";47.2114766;9.0284892
252;"LANDI See AG";"Tunnelstrasse 2";8732;"Neuhaus";"Tunnelstrasse 2, Neuhaus, Switzerland";"47.237905 8.950819";47.237905;8.950819
253;"Landi Glarnerland AG";"Hauptstrasse 95";8756;"Mitlödi";"Hauptstrasse 95, Mitlödi, Switzerland";"47.01701740000001 9.0812694";47.01701740000001;9.0812694
254;"LANDI Zimmerberg";"Industriestrasse 15";8820;"Wädenswil";"Industriestrasse 15, Wädenswil, Switzerland";"47.2361 8.6370778";47.2361;8.6370778
255;"LANDI Einsiedeln AG";"Alpstrasse 4";8840;"Einsiedeln";"Alpstrasse 4, Einsiedeln, Switzerland";"47.1360435 8.7458253";47.1360435;8.7458253
256;"BV Landi March Genossenschaft";"Bahnhofstrasse 65";8854;"Siebnen";"Bahnhofstrasse 65, Siebnen, Switzerland";"47.1825797 8.8991516";47.1825797;8.8991516
